resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24902,1044,825,210,20,13,17,17,17,0.0,55,\N,\N,45,15,1:40.948,190.363,54
24903,1044,154,210,8,17,\N,R,18,0.0,49,\N,\N,38,18,1:43.281,186.063,130
24904,1044,849,3,6,0,\N,R,19,0.0,39,\N,\N,32,19,1:43.495,185.678,130
24905,1044,841,51,99,10,\N,R,20,0.0,11,\N,\N,11,20,1:51.122,172.934,6
24906,1045,1,131,44,1,1,1,1,25.0,57,2:59:47.515,10787515,38,3,1:32.864,209.803,1
24907,1045,830,9,33,3,2,2,2,19.0,57,+1.254,10788769,48,1,1:32.014,211.741,1
24908,1045,848,9,23,4,3,3,3,15.0,57,+8.005,10795520,41,10,1:33.684,207.967,1
24909,1045,846,1,4,9,4,4,4,12.0,57,+11.337,10798852,53,7,1:33.588,208.180,1
24910,1045,832,1,55,15,5,5,5,10.0,57,+11.787,10799302,46,5,1:33.411,208.575,1
24911,1045,842,213,10,8,6,6,6,8.0,57,+11.942,10799457,48,16,1:34.817,205.482,1
24912,1045,817,4,3,6,7,7,7,6.0,57,+19.368,10806883,38,2,1:32.827,209.887,1
24913,1045,822,131,77,2,8,8,8,4.0,57,+19.680,10807195,28,4,1:33.352,208.706,1
24914,1045,839,4,31,7,9,9,9,2.0,57,+22.803,10810318,37,13,1:34.354,206.490,1
24915,1045,844,6,16,12,10,10,10,1.0,56,\N,\N,44,8,1:33.625,208.098,11
24916,1045,826,213,26,10,11,11,11,0.0,56,\N,\N,35,12,1:34.141,206.957,11
24917,1045,847,3,63,14,12,12,12,0.0,56,\N,\N,47,17,1:35.042,204.995,11
24918,1045,20,6,5,11,13,13,13,0.0,56,\N,\N,41,11,1:33.861,207.575,11
24919,1045,849,3,6,20,14,14,14,0.0,56,\N,\N,39,15,1:34.591,205.973,11
24920,1045,8,51,7,17,15,15,15,0.0,56,\N,\N,43,6,1:33.573,208.213,11
24921,1045,841,51,99,16,16,16,16,0.0,56,\N,\N,22,14,1:34.536,206.092,11
24922,1045,825,210,20,18,17,17,17,0.0,56,\N,\N,29,18,1:35.241,204.567,11
24923,1045,815,211,11,5,18,18,18,0.0,53,\N,\N,40,9,1:33.629,208.089,5
24924,1045,840,211,18,13,\N,R,19,0.0,2,\N,\N,\N,0,\N,\N,4
24925,1045,154,210,8,19,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
24926,1046,815,211,11,5,1,1,1,25.0,87,1:31:15.114,5475114,69,3,0:56.789,224.599,1
24927,1046,839,4,31,11,2,2,2,18.0,87,+10.518,5485632,75,12,0:57.350,222.402,1
24928,1046,840,211,18,10,3,3,3,15.0,87,+11.869,5486983,85,14,0:57.388,222.255,1
24929,1046,832,1,55,8,4,4,4,12.0,87,+12.580,5487694,80,9,0:57.165,223.122,1
24930,1046,817,4,3,7,5,5,5,10.0,87,+13.330,5488444,57,6,0:56.979,223.850,1
24931,1046,848,9,23,12,6,6,6,8.0,87,+13.842,5488956,52,8,0:57.056,223.548,1
24932,1046,826,213,26,6,7,7,7,6.0,87,+14.534,5489648,80,7,0:57.001,223.764,1
24933,1046,822,131,77,1,8,8,8,4.0,87,+15.389,5490503,60,2,0:56.563,225.497,1
24934,1046,847,131,63,2,9,9,9,3.0,87,+18.556,5493670,80,1,0:55.404,230.214,1
24935,1046,846,1,4,19,10,10,10,1.0,87,+19.541,5494655,85,11,0:57.270,222.713,1
24936,1046,842,213,10,9,11,11,11,0.0,87,+20.527,5495641,53,10,0:57.220,222.908,1
24937,1046,20,6,5,13,12,12,12,0.0,87,+22.611,5497725,56,5,0:56.905,224.141,1
24938,1046,841,51,99,14,13,13,13,0.0,87,+24.111,5499225,56,4,0:56.887,224.212,1
24939,1046,8,51,7,18,14,14,14,0.0,87,+26.153,5501267,56,13,0:57.375,222.305,1
24940,1046,825,210,20,15,15,15,15,0.0,87,+32.370,5507484,57,16,0:57.516,221.760,1
24941,1046,851,3,89,17,16,16,16,0.0,87,+33.674,5508788,56,15,0:57.392,222.240,1
24942,1046,850,210,51,20,17,17,17,0.0,87,+36.858,5511972,56,17,0:57.742,220.892,1
24943,1046,849,3,6,16,\N,R,18,0.0,52,\N,\N,29,18,0:58.206,219.132,5
24944,1046,830,9,33,3,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,3
24945,1046,844,6,16,4,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
24946,1047,830,9,33,1,1,1,1,25.0,55,1:36:28.645,5788645,14,2,1:40.958,198.046,1
24947,1047,822,131,77,2,2,2,2,18.0,55,+15.976,5804621,40,3,1:41.131,197.707,1
24948,1047,1,131,44,3,3,3,3,15.0,55,+18.415,5807060,37,5,1:41.420,197.144,1
24949,1047,848,9,23,5,4,4,4,12.0,55,+19.987,5808632,42,4,1:41.227,197.520,1
24950,1047,846,1,4,4,5,5,5,10.0,55,+1:00.729,5849374,53,12,1:41.964,196.092,1
24951,1047,832,1,55,6,6,6,6,8.0,55,+1:05.662,5854307,48,11,1:41.947,196.125,1
24952,1047,817,4,3,11,7,7,7,7.0,55,+1:13.748,5862393,55,1,1:40.926,198.109,1
24953,1047,842,213,10,9,8,8,8,4.0,55,+1:29.718,5878363,53,15,1:42.474,195.116,1
24954,1047,839,4,31,10,9,9,9,2.0,55,+1:41.069,5799996,47,18,1:42.894,194.320,1
24955,1047,840,211,18,8,10,10,10,1.0,55,+1:42.738,5790314,41,9,1:41.866,196.281,1
24956,1047,826,213,26,7,11,11,11,0.0,54,\N,\N,47,17,1:42.704,194.679,11
24957,1047,8,51,7,15,12,12,12,0.0,54,\N,\N,53,14,1:42.148,195.739,11
24958,1047,844,6,16,12,13,13,13,0.0,54,\N,\N,24,10,1:41.908,196.200,11
24959,1047,20,6,5,13,14,14,14,0.0,54,\N,\N,37,6,1:41.475,197.037,11
24960,1047,847,3,63,16,15,15,15,0.0,54,\N,\N,54,20,1:43.328,193.504,11
24961,1047,841,51,99,14,16,16,16,0.0,54,\N,\N,29,7,1:41.675,196.650,11
24962,1047,849,3,6,18,17,17,17,0.0,54,\N,\N,49,16,1:42.497,195.073,11
24963,1047,825,210,20,20,18,18,18,0.0,54,\N,\N,50,13,1:41.999,196.025,11
24964,1047,850,210,51,17,19,19,19,0.0,53,\N,\N,50,8,1:41.707,196.588,12
24965,1047,815,211,11,19,\N,R,20,0.0,8,\N,\N,6,19,1:43.263,193.625,7
